,index_k,company_code,company_name,date,stock_price,foreign_demand,equity_ratio,per,pbr,type_of_industry,type_of_market,accounting_period,market_capitalization,trading_value
72,10.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-01,1785,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
73,11.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-04,1803,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
74,12.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-05,1816,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
75,13.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-06,1809,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
76,14.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-07,1786,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
77,15.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-08,1736,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
78,16.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-12,1741,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
79,17.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-13,1699,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
80,18.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-14,1739,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
81,19.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-15,1719,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
82,20.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-18,1745,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
83,21.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-19,1745,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
84,22.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-20,1746,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
